Root,words
female,"['women', 'girl', 'girls', 'woman', 'female']"
male,"['men', 'man', 'boy', 'boys', 'male']"
kid,"['kid', 'baby', 'child', 'children']"
lehenga-choli,"['choli', 'lehenga', 'lehengacholi']"
salwar-suit,"['salwar', 'salwarsuit']"
hoodie,"["sweatshirt"]"
full-sleeve,"['full', 'sleeve']"
half-sleeve,"['3/4', 'half', 'sleeve']"
floral-print,"['floral', 'flowers']"
graphic-print,"['graphic', 'graphics']"
round-neck,"['round', 'crew', 'roundneck', 'crewneck']"
v-neck,"['v', 'vneck']"
deep-neck,"['deep', 'deepneck']"
collared-neck,"['collar', 'collarneck']"
